days,readings
1,Genesis 1-3
2,Genesis 4-7
3,Genesis 8-11
4,Job 1-5
5,Job 6-9
6,Job 10-13
7,Job 14-16
8,Job 17-20
9,Job 21-23
10,Job 24-28
11,Job 29-31
12,Job 32-34
13,Job 35-37
14,Job 38-39
15,Job 40-42
16,Genesis 12-15
17,Genesis 16-18
18,Genesis 19-21
19,Genesis 22-24
20,Genesis 25-26
21,Genesis 27-29
22,Genesis 30-31
23,Genesis 32-34
24,Genesis 35-37
25,Genesis 38-40
26,Genesis 41-42
27,Genesis 43-45
28,Genesis 46-47
29,Genesis 48-50
30,Exodus 1-3
31,Exodus 4-6
32,Exodus 7-9
33,Exodus 10-12
34,Exodus 13-15
35,Exodus 16-18
36,Exodus 19-21
37,Exodus 22-24
38,Exodus 25-27
39,Exodus 28-29
40,Exodus 30-32
41,Exodus 33-35
42,Exodus 36-38
43,Exodus 39-40
44,Leviticus 1-4
45,Leviticus 5-7
46,Leviticus 8-10
47,Leviticus 11-13
48,Leviticus 14-15
49,Leviticus 16-18
50,Leviticus 19-21
51,Leviticus 22-23
52,Leviticus 24-25
53,Leviticus 26-27
54,Numbers 1-2
55,Numbers 3-4
56,Numbers 5-6
57,Numbers 7
58,Numbers 8-10
59,Numbers 11-13
60,"Numbers 14-15, Psalm 90"
61,Numbers 16-17
62,Numbers 18-20
63,Numbers 21-22
64,Numbers 23-25
65,Numbers 26-27
66,Numbers 28-30
67,Numbers 31-32
68,Numbers 33-34
69,Numbers 35-36
70,Deuteronomy 1-2
71,Deuteronomy 3-4
72,Deuteronomy 5-7
73,Deuteronomy 8-10
74,Deuteronomy 11-13
75,Deuteronomy 14-16
76,Deuteronomy 17-20
77,Deuteronomy 21-23
78,Deuteronomy 24-27
79,Deuteronomy 28-29
80,Deuteronomy 30-31
81,"Deuteronomy 32-34, Psalm 91"
82,Joshua 1-4
83,Joshua 5-8
84,Joshua 9-11
85,Joshua 12-15
86,Joshua 16-18
87,Joshua 19-21
88,Joshua 22-24
89,Judges 1-2
90,Judges 3-5
91,Judges 6-7
92,Judges 8-9
93,Judges 10-12
94,Judges 13-15
95,Judges 16-18
96,Judges 19-21
97,Ruth 1-4
98,1 Samuel 1-3
99,1 Samuel 4-8
100,1 Samuel 9-12
101,1 Samuel 13-14
102,1 Samuel 15-17
103,"Psalm 11, 1 Samuel 18-20, Psalm 59"
104,1 Samuel 21-24
105,"Psalm 7, Psalm 27, Psalm 31, Psalm 34, Psalm 52"
106,"Psalm 56, Psalm 120, Psalm 140-142"
107,1 Samuel 25-27
108,"Psalm 17, Psalm 35, Psalm 54, Psalm 63"
109,"Psalm 18, 1 Samuel 28-31"
110,"Psalm 121, Psalm 123-125, Psalm 128-130"
111,2 Samuel 1-4
112,"Psalm 6, Psalm 8-10, Psalm 14, Psalm 16, Psalm 19, Psalm 21"
113,1 Chronicles 1-2
114,"Psalm 43-45, Psalm 49, Psalm 84-85, Psalm 87"
115,1 Chronicles 3-5
116,"Psalm 73, Psalm 77-78"
117,1 Chronicles 6
118,"Psalm 81, Psalm 88, Psalm 92-93"
119,1 Chronicles 7-10
120,Psalm 102-104
121,"2 Samuel 5:1-10, 1 Chronicles 11-12"
122,Psalm 133
123,Psalm 106-107
124,"2 Samuel 5:11-6:23, 1 Chronicles 13-16"
125,"Psalm 1-2, Psalm 15, Psalm 22-24, Psalm 47, Psalm 68"
126,"Psalm 89, Psalm 96, Psalm 100, Psalm 101, Psalm 105, Psalm 132"
127,"2 Samuel 7, 1 Chronicles 17"
128,"Psalm 25, Psalm 29, Psalm 33, Psalm 36, Psalm 39"
129,"2 Samuel 8-9, 1 Chronicles 18"
130,"Psalm 50, Psalm 53, Psalm 60, Psalm 75"
131,"2 Samuel 10, 1 Chronicles 19, Psalm 20"
132,"Psalm 65-67, Psalm 69-70"
133,"2 Samuel 11-12, 1 Chronicles 20"
134,"Psalm 32, Psalm 51, Psalm 86, Psalm 122"
135,2 Samuel 13-15
136,"Psalm 3-4, Psalm 12-13, Psalm 28, Psalm 55"
137,2 Samuel 16-18
138,"Psalm 26, Psalm 40, Psalm 58, Psalm 61-62, Psalm 64"
139,2 Samuel 19-21
140,"Psalm 5, Psalm 38, Psalm 41-42"
141,"2 Samuel 22-23, Psalm 57"
142,"Psalm 95, Psalm 97-99"
143,"1 Chronicles 21-22, 2 Samuel 24, Psalm 30"
144,Psalm 108-110
145,1 Chronicles 23-25
146,"Psalm 131, Psalm 138-139, Psalm 143-145"
147,"1 Chronicles 26-29, Psalm 127"
148,Psalm 111-118
149,"1 Kings 1-2, Psalm 37, Psalm 71, Psalm 94"
150,Psalm 119:1-88
151,"2 Chronicles 1, 1 Kings 3-4, Psalm 72"
152,Psalm 119:89-176
153,Song of Solomon 1-8
154,Proverbs 1-3
155,Proverbs 4-6
156,Proverbs 7-9
157,Proverbs 10-12
158,Proverbs 13-15
159,Proverbs 16-18
160,Proverbs 19-21
161,Proverbs 22-24
162,"2 Chronicles 2-3, 1 Kings 5-6"
163,"2 Chronicles 4, 1 Kings 7"
164,"2 Chronicles 5, 1 Kings 8"
165,"2 Chronicles 6-7, Psalm 136"
166,"Psalm 134, Psalm 146-150"
167,"2 Chronicles 8, 1 Kings 9"
168,Proverbs 25-26
169,Proverbs 27-29
170,Ecclesiastes 1-6
171,Ecclesiastes 7-12
172,"2 Chronicles 9, 1 Kings 10-11"
173,Proverbs 30-31
174,1 Kings 12-14
175,2 Chronicles 10-12
176,"2 Chronicles 13-16, 1 Kings 15:1-24"
177,"1 Kings 15:25-16:34, 2 Chronicles 17"
178,1 Kings 17-19
179,1 Kings 20-21
180,"2 Chronicles 18, 1 Kings 22"
181,2 Chronicles 19-23
182,"Obadiah 1, Psalm 82-83"
183,2 Kings 1-4
184,2 Kings 5-8
185,2 Kings 9-11
186,"2 Kings 12-13, 2 Chronicles 24"
187,"2 Kings 14, 2 Chronicles 25"
188,Jonah 1-4
189,"2 Kings 15, 2 Chronicles 26"
190,Isaiah 1-4
191,Isaiah 5-8
192,Amos 1-5
193,Amos 6-9
194,"Isaiah 9-12, 2 Chronicles 27"
195,Micah 1-7
196,"2 Kings 16-17, 2 Chronicles 28"
197,Isaiah 13-17
198,Isaiah 18-22
199,Isaiah 23-27
200,"2 Kings 18:1-8, 2 Chronicles 29-31, Psalm 48"
201,Hosea 1-7
202,Hosea 8-14
203,Isaiah 28-30
204,Isaiah 31-34
205,Isaiah 35-36
206,"Isaiah 37-39, Psalm 76"
207,Isaiah 40-43
208,Isaiah 44-48
209,"2 Kings 18:9-19:37, Psalm 46, Psalm 80, Psalm 135"
210,Isaiah 49-53
211,Isaiah 54-58
212,Isaiah 59-63
213,Isaiah 64-66
214,2 Kings 20-21
215,2 Chronicles 32-33
216,Nahum 1-3
217,"2 Kings 22-23, 2 Chronicles 34-35"
218,Zephaniah 1-3
219,Jeremiah 1-3
220,Jeremiah 4-6
221,Jeremiah 7-9
222,Jeremiah 10-13
223,Jeremiah 14-17
224,Jeremiah 18-22
225,Jeremiah 23-25
226,Jeremiah 26-29
227,Jeremiah 30-31
228,Jeremiah 32-34
229,Jeremiah 35-37
230,"Jeremiah 38-40, Psalm 74, Psalm 79"
231,"2 Kings 24-25, 2 Chronicles 36"
232,Habakkuk 1-3
233,Jeremiah 41-45
234,Jeremiah 46-48
235,Jeremiah 49-50
236,Jeremiah 51-52
237,Lamentations 1:1-3:36
238,Lamentations 3:37-5:22
239,Ezekiel 1-4
240,Ezekiel 5-8
241,Ezekiel 9-12
242,Ezekiel 13-15
243,Ezekiel 16-17
244,Ezekiel 18-19
245,Ezekiel 20-21
246,Ezekiel 22-23
247,Ezekiel 24-27
248,Ezekiel 28-31
249,Ezekiel 32-34
250,Ezekiel 35-37
251,Ezekiel 38-39
252,Ezekiel 40-41
253,Ezekiel 42-43
254,Ezekiel 44-45
255,Ezekiel 46-48
256,Joel 1-3
257,Daniel 1-3
258,Daniel 4-6
259,Daniel 7-9
260,Daniel 10-12
261,Ezra 1-3
262,"Ezra 4-6, Psalm 137"
263,Haggai 1-2
264,Zechariah 1-7
265,Zechariah 8-14
266,Esther 1-5
267,Esther 6-10
268,Ezra 7-10
269,Nehemiah 1-5
270,Nehemiah 6-7
271,Nehemiah 8-10
272,"Nehemiah 11-13, Psalm 126"
273,Malachi 1-4
274,"Luke 1, John 1:1-14"
275,"Matthew 1, Luke 2:1-38"
276,"Matthew 2, Luke 2:39-52"
277,"Mark 1, Luke 3, Matthew 3"
278,"John 1:15-51, Matthew 4, Luke 4-5"
279,John 2-4
280,Mark 2
281,John 5
