days,readings
1,"Genesis 1-3, Luke 1:1-20"
2,"Genesis 4-6, Luke 1:21-38"
3,"Genesis 7-9, Luke 1:39-56"
4,"Genesis 10-12, Luke 1:57-80"
5,"Genesis 13-15, John 1:1-14"
6,"Genesis 16-17, Matthew 1"
7,"Genesis 18-19, Luke 2:1-38"
8,"Genesis 20-22, Matthew 2"
9,"Job 1-2, Luke 2:39-52"
10,"Job 3-4, Mark 1:1-22"
11,"Job 5-7, Mark 1:23-45"
12,"Job 8-10, Luke 3:1-20"
13,"Job 11-13, Luke 3:21-38"
14,"Job 14-16, Matthew 3"
15,"Job 17-19, John 1:15-51"
16,"Job 20-21, Matthew 4"
17,"Job 22-24, Luke 4:1-30"
18,"Job 25-27, Luke 4:31-44"
19,"Job 28-29, Luke 5:1-16"
20,"Job 30-31, Luke 5:17-39"
21,"Job 32-33, John 2"
22,"Job 34-35, John 3:1-15"
23,"Job 36-37, John 3:16-36"
24,"Job 38-40, John 4:1-26"
25,"Job 41-42, John 4:27-54"
26,"Genesis 23-24, Mark 2"
27,"Genesis 25-26, John 5:1-24"
28,"Genesis 27-28, John 5:25-47"
29,"Genesis 29-30, Mark 3:1-19"
30,"Genesis 31-32, Mark 3:20-35"
31,"Genesis 33-35, Luke 6:1-26"
32,"Genesis 36-38, Luke 6:27-49"
33,"Genesis 39-40, Matthew 12:1-21"
34,"Genesis 41-42, Matthew 5:1-26"
35,"Genesis 43-45, Matthew 5:27-48"
36,"Genesis 46-48, Matthew 6:1-18"
37,"Genesis 49-50, Matthew 6:19-34"
38,"Exodus 1-3, Matthew 7"
39,"Exodus 4-6, Luke 7:1-30"
40,"Exodus 7-8, Luke 7:31-50"
41,"Exodus 9-11, Matthew 8:1-13"
42,"Exodus 12-13, Matthew 11:1-20"
43,"Exodus 14-15, Matthew 11:21-30"
44,"Exodus 16-18, Luke 11:1-28"
45,"Exodus 19-20, Luke 11:29-54"
46,"Exodus 21-22, Matthew 12:22-50"
47,"Exodus 23-24, Luke 8:1-25"
48,"Exodus 25-26, Luke 8:26-56"
49,"Exodus 27-28, Matthew 13:1-30"
50,"Exodus 29-30, Matthew 13:31-58"
51,"Exodus 31-33, Mark 4:1-20"
52,"Exodus 34-35, Mark 4:21-41"
53,"Exodus 36-38, Mark 5:1-20"
